geohash4,lat_c,lng_c,mean_severity,event_count,lisa_cluster
dnw9,36.7661,-80.8236,1.618421052631579,6004,0
dnwk,37.2958,-81.2077,1.5275641025641025,6240,0
dnxs,37.3262,-79.2028,1.6536964980544746,3084,4
dnzc,38.2638,-78.8964,1.5664933135215453,5384,3
dp0p,40.6675,-89.6839,1.5473278985507246,4416,0
dp3r,42.1208,-87.9047,1.5063920454545454,4224,0
dp5k,40.2345,-85.3936,1.5663494343688273,5569,0
dp5u,40.2044,-84.5319,1.3991288853692339,5051,0
dp9k,42.955,-87.9044,1.470444985609918,4517,0
dpe5,42.8808,-85.5228,1.466173752310536,5410,0
dped,42.5764,-84.81240000000001,1.5047454702329595,6954,0
dpq0,40.9181,-81.4434,1.4663341645885286,5213,0
dprx,42.1534,-79.258,1.6362395495649207,5861,0
dq1x,35.0222,-76.4625,1.6460268317853457,2907,4
dq97,37.2416,-76.71670000000002,0.8689655172413793,435,0
dq9c,36.8211,-76.0283,1.5421417947446703,4034,3
dq9m,37.5211,-76.7647,0.603448275862069,348,0
dqc9,38.146,-76.4285,1.6410537870472008,4555,4
dqfx,39.3662,-75.0778,1.708416169648774,4527,4
dr1k,40.2184,-76.8552,1.5970178926441352,5030,3
dr2x,42.1078,-77.9842,1.580351728320194,8245,0
dr5x,40.6392,-73.76390000000002,1.5055060304142633,3814,0
dr6v,41.7016,-74.795,1.69375,5920,0
dr8d,42.5709,-77.7131,1.3198168737737084,4587,0
drec,42.4269,-73.289,1.6940029985007496,6670,0
drfz,44.9358,-74.8455,1.595846645367412,5634,0
drk4,41.2638,-72.8868,1.7329968757510215,4161,0
drkg,41.3509,-71.8054,1.7333333333333334,5415,0
drmh,41.5971,-71.4121,1.7771186440677966,1180,0
drsb,42.2706,-71.8731,1.7087476824540704,5933,0
dry0,43.6424,-70.3044,1.6732418524871355,4664,0
f03h,47.166,-88.4807,1.6258036862408916,6999,0
f2rd,46.8715,-68.0179,1.6646554035934567,7458,0
